157.402897,157.452504,157.392975,157.452504,3018
157.531875,157.750146,157.323526,157.363211,799678
157.373133,157.437622,157.085412,157.135019,159221
157.115176,157.383054,157.105255,157.373133,126785
157.363211,157.561639,157.363211,157.444567,146676
157.447543,157.740224,157.442582,157.660853,142142
157.660853,157.898966,157.660853,157.876147,184035
157.869202,157.993220,157.789831,157.985283,112947
157.988259,158.181726,157.978338,158.137080,183250
158.137080,158.156923,158.027945,158.087473,75599
158.109796,158.156923,158.070706,158.072591,111940
158.072591,158.201569,158.072591,158.147001,132754
158.156923,158.196608,158.107316,158.117237,68946
158.122198,158.166844,158.057709,158.161883,95735
158.166844,158.241255,158.151962,158.241255,89830
158.239469,158.285405,158.186687,158.255641,130603
158.251176,158.295822,158.077552,158.176765,152862
158.181726,158.236294,158.147001,158.156923,58679
158.147001,158.147001,157.948573,158.008102,60467
158.008102,158.176765,158.003141,158.097394,63639
158.117237,158.122198,158.018023,158.072591,53742
158.077552,158.137080,157.918908,157.938652,105462
157.943613,157.998180,157.928731,157.928731,52518
157.938652,157.978338,157.849360,157.963456,84798
157.968416,157.988160,157.918809,157.938652,54266
157.928731,157.978338,157.879223,157.908888,70043
157.913452,158.047787,157.898966,158.042827,54455
158.037866,158.147001,158.037866,158.127158,92873
158.127158,158.191648,158.087473,158.171805,53343
158.186687,158.206530,158.097394,158.166844,48681
158.176765,158.280940,158.166844,158.271019,83593
158.275979,158.300783,158.206530,158.206530,54661
158.216451,158.256137,158.186687,158.186687,49279
158.187183,158.206530,158.047787,158.087473,77915
158.077552,158.107316,158.027945,158.097394,83737
158.097394,158.236294,158.092434,158.206530,64411
158.197005,158.236294,158.142041,158.186687,57153
158.186687,158.256137,158.186687,158.221412,46933
158.221114,158.275979,158.196608,158.275979,51520
158.266058,158.266058,158.156823,158.183413,36654
158.196608,158.236294,158.176765,158.186687,29683
158.186687,158.266058,158.186687,158.236294,40333
158.226372,158.226372,158.087473,158.097394,53971
158.102355,158.135096,158.053740,158.087473,37467
158.087473,158.087473,157.849360,157.871683,132782
157.869202,157.918809,157.859281,157.879124,51920
157.874163,157.874163,157.631089,157.710460,132087
157.711651,157.760067,157.660853,157.690617,59184
157.700340,157.867218,157.660853,157.867218,61403
157.859281,157.879124,157.760067,157.859281,45017
157.869202,157.908888,157.819595,157.834477,45853
157.829517,157.831699,157.700539,157.707980,66213
157.700539,157.829517,157.695578,157.799753,45669
157.799753,157.834477,157.769988,157.799753,35722
157.789831,157.789831,157.541796,157.631089,73558
157.631089,157.705499,157.531875,157.705499,60243
157.700539,157.700539,157.611246,157.641010,53482
157.634958,157.690617,157.596364,157.690617,68008
157.694983,157.779910,157.690617,157.718397,49484
157.720381,157.833287,157.720381,157.789831,30099
157.804713,157.859281,157.799753,157.849360,59616
157.844399,157.849360,157.750146,157.849360,48049
157.839438,157.839438,157.779910,157.799753,42405
157.794792,157.889045,157.760067,157.874163,32570
157.869202,157.953534,157.819595,157.921091,30748
157.933691,157.958495,157.889045,157.938652,39908
157.938652,157.938652,157.908888,157.928731,26427
